,,,,,,Dist. Per pulse,0.025,,,
,,,,,,,,,,
,,,,,,,,,,
# Number of Rows, Mode,Est. of Time Step. Avg. (Avg. of all prev.),,Time Step,Time,Incr. Dist.,Total Dist.,Speed,Accel,Jerk
61,0.1248,0.1096,,0.1440947,8.37,0.033,2.574,0.23,0.00,0.00
62,0.1240,0.1098,,0.1134641,8.48,0.026,2.600,0.23,0.00,-0.01
63,0.1232,0.1101,,0.1131437,8.60,0.026,2.626,0.23,0.00,0.00
64,0.1236,0.1103,,0.1438663,8.74,0.033,2.659,0.23,0.00,0.01
65,0.1239,0.1105,,0.1437736,8.88,0.033,2.691,0.23,0.00,0.00
66,0.1243,0.1107,,0.1438329,9.03,0.032,2.724,0.23,0.00,0.00
67,0.1264,0.1110,,0.2255249,9.25,0.051,2.774,0.23,0.00,0.00
68,0.1249,0.1112,,0.082761,9.34,0.019,2.793,0.22,-0.01,-0.04
69,0.1268,0.1114,,0.2353408,9.57,0.053,2.846,0.22,0.00,0.01
70,0.1288,0.1117,,0.2251308,9.80,0.050,2.896,0.22,0.00,0.00
71,0.1274,0.1119,,0.0840242,9.88,0.019,2.915,0.22,-0.01,-0.04
72,0.1258,0.1121,,0.062511,9.94,0.014,2.929,0.22,-0.01,-0.01
73,0.1252,0.1123,,0.0217197,9.96,0.005,2.934,0.22,-0.02,-0.49
74,0.1240,0.1124,,0.0928144,10.06,0.021,2.954,0.22,0.00,0.15
75,0.1227,0.1126,,0.0830066,10.14,0.018,2.973,0.22,0.00,0.00
76,0.1240,0.1127,,0.1745384,10.32,0.039,3.012,0.22,0.00,0.01
77,0.1227,0.1129,,0.0827699,10.40,0.018,3.030,0.22,0.00,-0.02
78,0.1239,0.1130,,0.1743522,10.57,0.039,3.069,0.22,0.00,0.01
79,0.1226,0.1131,,0.0827868,10.66,0.018,3.087,0.22,0.00,-0.02
80,0.1230,0.1133,,0.1438401,10.80,0.032,3.119,0.22,0.00,0.01
81,0.1224,0.1134,,0.1133354,10.91,0.025,3.144,0.22,0.00,0.00
82,0.1212,0.1135,,0.0827734,11.00,0.018,3.162,0.22,0.00,0.00
83,0.1229,0.1136,,0.2070765,11.20,0.046,3.207,0.22,0.00,0.01
84,0.1233,0.1137,,0.1453595,11.35,0.032,3.239,0.22,0.00,0.00
