# Number of Rows, Mode
1.300000000000000000e+02,3.762173425572519492e-02
1.310000000000000000e+02,3.692213096590907240e-02
1.320000000000000000e+02,3.846642873590223888e-02
1.330000000000000000e+02,3.822002136194029009e-02
1.340000000000000000e+02,3.988914499999998697e-02
1.350000000000000000e+02,3.923360882352940060e-02
1.360000000000000000e+02,3.806002582116789490e-02
1.370000000000000000e+02,3.887682019927535260e-02
1.380000000000000000e+02,3.980671688399280150e-02
1.390000000000000000e+02,3.949999428571428217e-02
1.400000000000000000e+02,3.971901509308510547e-02
1.410000000000000000e+02,3.924556949823942986e-02
1.420000000000000000e+02,3.867820496066431968e-02
1.430000000000000000e+02,3.834404444444444726e-02
1.440000000000000000e+02,3.800948827586206336e-02
1.450000000000000000e+02,3.777775505136986289e-02
1.460000000000000000e+02,3.900487823129250575e-02
1.470000000000000000e+02,3.915073657094593484e-02
1.480000000000000000e+02,4.056531753355703540e-02
1.490000000000000000e+02,4.007591254166666117e-02
1.500000000000000000e+02,3.958879118377484074e-02
1.510000000000000000e+02,3.920553667763157502e-02
1.520000000000000000e+02,3.961238255718954604e-02
1.530000000000000000e+02,3.913261205357143613e-02
1.540000000000000000e+02,3.988137487903226086e-02
1.550000000000000000e+02,3.924329503205127578e-02
1.560000000000000000e+02,3.876362462181527635e-02
1.570000000000000000e+02,3.862445027689871691e-02
1.580000000000000000e+02,3.912183447327043095e-02
1.590000000000000000e+02,3.864816625000000450e-02
1.600000000000000000e+02,3.837653501552795721e-02
1.610000000000000000e+02,3.775247083333332920e-02
1.620000000000000000e+02,3.840558719325154469e-02
1.630000000000000000e+02,3.827016310975610291e-02
1.640000000000000000e+02,3.823514416666667914e-02
1.650000000000000000e+02,3.885687356927711167e-02
1.660000000000000000e+02,4.004104302020958239e-02
1.670000000000000000e+02,3.987675178571428725e-02
1.680000000000000000e+02,4.069015343934911932e-02
1.690000000000000000e+02,4.007182242647057413e-02
1.700000000000000000e+02,3.971150553728070021e-02
1.710000000000000000e+02,4.071919222383720005e-02
1.720000000000000000e+02,4.026096217485548856e-02
1.730000000000000000e+02,4.138142859195402534e-02
1.740000000000000000e+02,4.180680717857140904e-02
1.750000000000000000e+02,4.115048494318182537e-02
1.760000000000000000e+02,4.099639865819210138e-02
1.770000000000000000e+02,4.179268813202248467e-02
1.780000000000000000e+02,4.222814120111732794e-02
1.790000000000000000e+02,4.207544937500000415e-02
1.800000000000000000e+02,4.270833497928176736e-02
1.810000000000000000e+02,4.241355082417583300e-02
1.820000000000000000e+02,3.789621922814206956e-02
1.830000000000000000e+02,3.769784891304349406e-02
1.840000000000000000e+02,3.888229133445945951e-02
1.850000000000000000e+02,3.841047305107525567e-02
1.860000000000000000e+02,3.877412596925133847e-02
1.870000000000000000e+02,3.953691755319149737e-02
1.880000000000000000e+02,3.892349867724867463e-02
1.890000000000000000e+02,3.876776937499999687e-02
1.900000000000000000e+02,3.811480854057590351e-02
1.910000000000000000e+02,3.796365416666666603e-02
1.920000000000000000e+02,3.872236377914509142e-02
1.930000000000000000e+02,3.928086907216495061e-02
1.940000000000000000e+02,3.977809495192308198e-02
1.950000000000000000e+02,3.997663698979590785e-02
1.960000000000000000e+02,4.113617953680202832e-02
1.970000000000000000e+02,4.094151148989899625e-02
1.980000000000000000e+02,4.033714616834170597e-02
1.990000000000000000e+02,4.128070725000000663e-02
2.000000000000000000e+02,4.067846837686565908e-02
2.010000000000000000e+02,4.148063533415842496e-02
2.020000000000000000e+02,4.221413237376847594e-02
2.030000000000000000e+02,4.206892058823531733e-02
2.040000000000000000e+02,4.211145269817073711e-02
2.050000000000000000e+02,4.206039086771845570e-02
2.060000000000000000e+02,4.181843152173915501e-02
2.070000000000000000e+02,4.132233124999999674e-02
2.080000000000000000e+02,4.113978322368423701e-02
2.090000000000000000e+02,4.054706803571428431e-02
2.100000000000000000e+02,4.147856409952606349e-02
2.110000000000000000e+02,4.088814952830188698e-02
2.120000000000000000e+02,4.071121346830985921e-02
2.130000000000000000e+02,4.134025911214954385e-02
2.140000000000000000e+02,4.085246802325581683e-02
2.150000000000000000e+02,4.120250231481481507e-02
2.160000000000000000e+02,4.162794472926266420e-02
2.170000000000000000e+02,4.129817112958714120e-02
2.180000000000000000e+02,4.117069783105023473e-02
2.190000000000000000e+02,4.058835590909089241e-02
2.200000000000000000e+02,4.168762367081448039e-02
2.210000000000000000e+02,4.193559634009008663e-02
2.220000000000000000e+02,4.289179355381167458e-02
2.230000000000000000e+02,4.237901607142856297e-02
2.240000000000000000e+02,4.272098788888889498e-02
2.250000000000000000e+02,4.328978376659292637e-02
2.260000000000000000e+02,4.380953422356828608e-02
2.270000000000000000e+02,4.478306381578947559e-02
2.280000000000000000e+02,4.419747374454148503e-02
2.290000000000000000e+02,4.391355880434781589e-02
2.300000000000000000e+02,4.374242724567099783e-02
2.310000000000000000e+02,4.381304525862067534e-02
2.320000000000000000e+02,4.364380732296137266e-02
2.330000000000000000e+02,4.336486607905983004e-02
2.340000000000000000e+02,4.301692901595742524e-02
2.350000000000000000e+02,4.291051006355930952e-02
2.360000000000000000e+02,4.240655203059069678e-02
2.370000000000000000e+02,4.204809070378148772e-02
2.380000000000000000e+02,4.223171148012550002e-02
2.390000000000000000e+02,4.211664354166667901e-02
2.400000000000000000e+02,4.164821023080914064e-02
2.410000000000000000e+02,4.160721975723141730e-02
