# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.903700000000000440e-03
2.000000000000000000e+00,7.449985416666667429e-03
3.000000000000000000e+00,-9.457187499999891570e-05
4.000000000000000000e+00,1.094351874999999891e-02
5.000000000000000000e+00,-7.716875000000042223e-05
6.000000000000000000e+00,-6.584330357142210933e-05
7.000000000000000000e+00,-7.225625000000486325e-05
8.000000000000000000e+00,-7.983611111111150820e-05
9.000000000000000000e+00,-2.159249999999483685e-05
1.000000000000000000e+01,-8.271960227273482283e-05
1.100000000000000000e+01,1.151427083333183134e-04
1.200000000000000000e+01,-5.609399038462570253e-05
1.300000000000000000e+01,-8.850401785715475195e-05
1.400000000000000000e+01,-7.082333333335281858e-05
1.500000000000000000e+01,-9.116249999998589186e-05
1.600000000000000000e+01,-7.643235294116895566e-05
1.700000000000000000e+01,-7.723715277776471559e-05
1.800000000000000000e+01,-5.543766447371009534e-05
1.900000000000000000e+01,-1.799250000002723475e-05
2.000000000000000000e+01,1.467366071428831821e-04
2.100000000000000000e+01,-6.150340909091088341e-05
2.200000000000000000e+01,-5.265815217391186837e-05
2.300000000000000000e+01,1.688302083333148682e-04
2.400000000000000000e+01,-7.702900000001723603e-05
2.500000000000000000e+01,-4.336201923079647581e-05
2.600000000000000000e+01,-2.888912037037825705e-05
2.700000000000000000e+01,-9.415401785717149113e-05
2.800000000000000000e+01,1.982582974137641198e-04
2.900000000000000000e+01,-3.771125000003853914e-05
3.000000000000000000e+01,-6.361794354839125844e-05
3.100000000000000000e+01,-8.218749999843176805e-07
3.200000000000000000e+01,-6.271732954543067387e-05
3.300000000000000000e+01,1.747490808823691922e-04
3.400000000000000000e+01,-6.519839285710664963e-05
3.500000000000000000e+01,-3.462638888885851080e-05
3.600000000000000000e+01,-2.976959459457512018e-05
3.700000000000000000e+01,1.551003289473994596e-04
3.800000000000000000e+01,-1.676682692305347792e-05
3.900000000000000000e+01,-6.463249999998903087e-05
4.000000000000000000e+01,1.571732469512309295e-04
4.100000000000000000e+01,1.929087797618965895e-04
4.200000000000000000e+01,-7.796366279069194397e-05
4.300000000000000000e+01,-1.017613636362563775e-05
4.400000000000000000e+01,-3.964138888889977004e-05
4.500000000000000000e+01,1.593452445652178493e-04
4.600000000000000000e+01,-5.174474734042627659e-05
4.700000000000000000e+01,-2.667916666662618549e-05
4.800000000000000000e+01,-1.073437499998199042e-05
4.900000000000000000e+01,-3.032299999998728862e-05
5.000000000000000000e+01,-4.341299019659501744e-07
5.100000000000000000e+01,-1.973629807691096153e-05
5.200000000000000000e+01,-6.773461084904601351e-05
5.300000000000000000e+01,-3.461064814817541209e-05
5.400000000000000000e+01,-7.008948863638203412e-05
5.500000000000000000e+01,1.251892857142943428e-04
5.600000000000000000e+01,-8.428634868420362049e-05
5.700000000000000000e+01,-8.860366379307399291e-05
5.800000000000000000e+01,1.927020656779631215e-04
5.900000000000000000e+01,-3.909166666665365325e-06
6.000000000000000000e+01,-2.070665983603937844e-05
6.100000000000000000e+01,-1.006653225805151147e-05
6.200000000000000000e+01,-7.346428571425268547e-05
6.300000000000000000e+01,-2.978593749999296095e-05
6.400000000000000000e+01,1.788451923076915940e-04
6.500000000000000000e+01,-6.383901515133265890e-06
6.600000000000000000e+01,1.139087220149547489e-04
6.700000000000000000e+01,-2.437499999998743298e-05
6.800000000000000000e+01,1.526574728260710469e-04
6.900000000000000000e+01,-9.589446428574155336e-05
7.000000000000000000e+01,-6.870915492962435529e-05
7.100000000000000000e+01,-6.781805555549617773e-05
7.200000000000000000e+01,-6.227136130133012254e-05
7.300000000000000000e+01,-1.953471283776648203e-05
7.400000000000000000e+01,1.937573333333885285e-04
7.500000000000000000e+01,-4.146874999996200042e-05
7.600000000000000000e+01,1.948949269480997472e-04
7.700000000000000000e+01,1.892492788462095811e-04
7.800000000000000000e+01,-8.406696993664677844e-05
