# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.661279887242923692e-02
2.000000000000000000e+00,5.678271364151314671e-02
3.000000000000000000e+00,5.163555898197166177e-02
4.000000000000000000e+00,6.298728043930264774e-03
5.000000000000000000e+00,-3.707220728776518953e-02
6.000000000000000000e+00,9.121397733181439704e-02
7.000000000000000000e+00,5.025439752302080648e-02
8.000000000000000000e+00,5.667837082312633668e-02
9.000000000000000000e+00,3.333956797103308778e-02
1.000000000000000000e+01,8.613511438715061586e-03
1.100000000000000000e+01,2.081918745571058327e-02
1.200000000000000000e+01,2.368123143347981678e-03
1.300000000000000000e+01,5.197868350374740959e-02
1.400000000000000000e+01,3.408191857412730397e-02
1.500000000000000000e+01,2.217891948793732776e-02
1.600000000000000000e+01,8.062924163203286781e-03
1.700000000000000000e+01,4.011583189890940981e-02
1.800000000000000000e+01,2.754417399228771199e-02
1.900000000000000000e+01,-3.867916052495210671e-02
2.000000000000000000e+01,-3.667690865880333245e-02
2.100000000000000000e+01,-3.165242965441698864e-02
2.200000000000000000e+01,-2.527939258973759332e-02
2.300000000000000000e+01,-1.605614165440669844e-02
2.400000000000000000e+01,-1.476366709193099348e-02
2.500000000000000000e+01,-9.958979751325067881e-03
2.600000000000000000e+01,-8.945316229900692265e-03
2.700000000000000000e+01,-4.896774059397551553e-03
2.800000000000000000e+01,-4.247923319676026772e-03
2.900000000000000000e+01,-5.644042415853927491e-02
3.000000000000000000e+01,-5.438973019728010616e-02
3.100000000000000000e+01,-4.872124726282343193e-02
3.200000000000000000e+01,-4.644714547036306318e-02
3.300000000000000000e+01,-5.889613196181787969e-02
3.400000000000000000e+01,-5.640606123315908271e-02
3.500000000000000000e+01,-1.114124098383773576e-01
3.600000000000000000e+01,-1.021789142159504477e-01
3.700000000000000000e+01,-1.459407157451333148e-01
3.800000000000000000e+01,-1.410327043471012731e-01
3.900000000000000000e+01,-1.352713011318639746e-01
4.000000000000000000e+01,-1.309408803115105491e-01
4.100000000000000000e+01,-1.258050332466330856e-01
4.200000000000000000e+01,-1.436270445069366963e-01
4.300000000000000000e+01,-1.537667794869124471e-01
4.400000000000000000e+01,-1.255074960001246187e-01
4.500000000000000000e+01,-1.362945826878605438e-01
4.600000000000000000e+01,-1.010526689353799801e-01
4.700000000000000000e+01,-1.123499441288552808e-01
4.800000000000000000e+01,-1.217587779617282095e-01
4.900000000000000000e+01,-1.322221815253786792e-01
5.000000000000000000e+01,-1.929584196963993470e-01
5.100000000000000000e+01,-2.042546864030636844e-01
5.200000000000000000e+01,-2.148068973588303787e-01
5.300000000000000000e+01,-2.130739728107086117e-01
5.400000000000000000e+01,-2.042930207729130032e-01
5.500000000000000000e+01,-1.993587579149994626e-01
5.600000000000000000e+01,-1.928699667228130354e-01
5.700000000000000000e+01,-1.883973562017694503e-01
5.800000000000000000e+01,-1.798470564346210665e-01
5.900000000000000000e+01,-1.754841403949206624e-01
6.000000000000000000e+01,-1.770495774868161010e-01
6.100000000000000000e+01,-1.704313405032427398e-01
6.200000000000000000e+01,-1.676791913310833049e-01
