# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.157791489705835869e-02
2.000000000000000000e+00,5.066238448424894431e-02
3.000000000000000000e+00,6.615893827228519486e-02
4.000000000000000000e+00,5.067684249593572970e-02
5.000000000000000000e+00,3.318843366212478885e-02
6.000000000000000000e+00,8.199530134594963660e-03
7.000000000000000000e+00,1.051543050810413091e-02
8.000000000000000000e+00,5.544682561768646267e-02
9.000000000000000000e+00,7.457715192020657191e-02
1.000000000000000000e+01,6.875752080124861165e-02
1.100000000000000000e+01,6.052883950804564817e-02
1.200000000000000000e+01,5.356364327568077094e-02
1.300000000000000000e+01,4.640915336981270983e-02
1.400000000000000000e+01,6.603136294478018087e-02
1.500000000000000000e+01,6.911680163144884315e-02
1.600000000000000000e+01,6.148697276600650213e-02
1.700000000000000000e+01,6.064854441503578220e-02
1.800000000000000000e+01,5.563150326172167093e-02
1.900000000000000000e+01,7.193341084934484764e-02
2.000000000000000000e+01,5.424824650828732192e-02
2.100000000000000000e+01,5.103750635410503333e-02
2.200000000000000000e+01,4.810483614263575541e-02
2.300000000000000000e+01,6.380296838581880903e-02
2.400000000000000000e+01,5.432137368983205872e-02
2.500000000000000000e+01,5.112153011486905707e-02
2.600000000000000000e+01,7.063498855916981733e-02
2.700000000000000000e+01,4.766465480275849237e-02
2.800000000000000000e+01,4.507041105687290689e-02
2.900000000000000000e+01,5.327613654756973433e-02
3.000000000000000000e+01,7.180461571768834150e-02
3.100000000000000000e+01,6.903538468495756808e-02
3.200000000000000000e+01,6.691663783777561381e-02
3.300000000000000000e+01,4.921869858333068753e-02
3.400000000000000000e+01,7.313252520186208638e-02
3.500000000000000000e+01,5.413394017843984468e-02
3.600000000000000000e+01,7.713144186776783873e-02
3.700000000000000000e+01,8.227396715464392607e-02
3.800000000000000000e+01,8.644843525349016344e-02
3.900000000000000000e+01,8.274142507827958459e-02
4.000000000000000000e+01,8.698654135324480896e-02
4.100000000000000000e+01,8.481873517243707084e-02
4.200000000000000000e+01,8.237830917072025416e-02
4.300000000000000000e+01,8.362947100853954097e-02
4.400000000000000000e+01,8.138542644759159950e-02
4.500000000000000000e+01,8.383577625125177013e-02
4.600000000000000000e+01,8.499211631934200373e-02
4.700000000000000000e+01,8.289899011142695673e-02
4.800000000000000000e+01,8.121788936871421338e-02
4.900000000000000000e+01,7.930864307373601541e-02
