# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,5.903700000000000440e-03
2.000000000000000000e+00,7.205844791666667429e-03
3.000000000000000000e+00,7.873787500000001618e-03
4.000000000000000000e+00,1.084351874999999951e-02
5.000000000000000000e+00,-9.015334062499999468e-02
6.000000000000000000e+00,-1.110939683035714193e-01
7.000000000000000000e+00,-9.079256874999999671e-02
8.000000000000000000e+00,-7.463100798611110864e-02
9.000000000000000000e+00,-4.942627999999998911e-02
1.000000000000000000e+01,-6.966279772727272668e-02
1.100000000000000000e+01,-8.626649791666668454e-02
1.200000000000000000e+01,-9.927718774038463145e-02
1.300000000000000000e+01,-1.572709258928570997e-01
1.400000000000000000e+01,-1.437255108333332920e-01
1.500000000000000000e+01,-1.321153812499999969e-01
1.600000000000000000e+01,-1.216584636029411776e-01
1.700000000000000000e+01,-2.868424715277777537e-01
1.800000000000000000e+01,-2.641597345394737228e-01
1.900000000000000000e+01,-2.389316643750000191e-01
2.000000000000000000e+01,-2.241743571428571058e-01
2.100000000000000000e+01,-2.110990034090908796e-01
2.200000000000000000e+01,-1.985272675271739229e-01
2.300000000000000000e+01,-1.821159354166666522e-01
2.400000000000000000e+01,-1.710196071250000283e-01
2.500000000000000000e+01,-1.551285182692307418e-01
2.600000000000000000e+01,-1.471898266203703898e-01
2.700000000000000000e+01,-1.409632946428571454e-01
2.800000000000000000e+01,-1.348115073275862608e-01
2.900000000000000000e+01,-1.275791175000000055e-01
3.000000000000000000e+01,-1.225780710685484137e-01
3.100000000000000000e+01,-1.177207437499999815e-01
3.200000000000000000e+01,-1.130998267045454364e-01
3.300000000000000000e+01,-1.028525946691176279e-01
3.400000000000000000e+01,-9.953043276785709936e-02
3.500000000000000000e+01,-9.618189201388886722e-02
3.600000000000000000e+01,-9.265906646959458370e-02
3.700000000000000000e+01,-8.618239967105258137e-02
3.800000000000000000e+01,-8.127145432692306493e-02
3.900000000000000000e+01,-7.862205437499998617e-02
4.000000000000000000e+01,-7.625884237804876620e-02
4.100000000000000000e+01,-7.115201309523810913e-02
4.200000000000000000e+01,-6.912561991279068951e-02
4.300000000000000000e+01,-6.724884801136363222e-02
4.400000000000000000e+01,-6.506932888888890265e-02
4.500000000000000000e+01,-5.936682663043478525e-02
4.600000000000000000e+01,-5.736893224734042340e-02
4.700000000000000000e+01,-5.852042916666663763e-02
4.800000000000000000e+01,-5.469823437499998775e-02
4.900000000000000000e+01,-5.339711987499998896e-02
5.000000000000000000e+01,-5.210238725490197453e-02
5.100000000000000000e+01,-8.347168942307692241e-02
5.200000000000000000e+01,-8.063414086084905175e-02
5.300000000000000000e+01,-7.494164189814818411e-02
5.400000000000000000e+01,-7.326813636363639637e-02
5.500000000000000000e+01,-7.176387321428571997e-02
5.600000000000000000e+01,-7.000850509868419835e-02
5.700000000000000000e+01,-7.830188491379307114e-02
5.800000000000000000e+01,-7.597917293432203401e-02
5.900000000000000000e+01,-7.304609666666665724e-02
6.000000000000000000e+01,-7.062148790983603652e-02
6.100000000000000000e+01,-7.569366028225806009e-02
6.200000000000000000e+01,-7.350393303571425840e-02
6.300000000000000000e+01,-7.371611406250000442e-02
6.400000000000000000e+01,-7.171021730769232272e-02
6.500000000000000000e+01,-8.716458702651512513e-02
6.600000000000000000e+01,-8.500288815298505385e-02
6.700000000000000000e+01,-9.045640624999998214e-02
6.800000000000000000e+01,-8.871453002717392955e-02
6.900000000000000000e+01,-8.749823821428573400e-02
7.000000000000000000e+01,-8.565034977992962151e-02
7.100000000000000000e+01,-8.375219305555549332e-02
7.200000000000000000e+01,-8.272594323630133584e-02
7.300000000000000000e+01,-8.126250346283776793e-02
7.400000000000000000e+01,-7.994022704166661719e-02
7.500000000000000000e+01,-7.611334374999996488e-02
7.600000000000000000e+01,-7.402385507305191126e-02
7.700000000000000000e+01,-7.402950072115378755e-02
7.800000000000000000e+01,-7.327039509493664393e-02
