# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.090330000000000354e-02
2.000000000000000000e+00,4.982158750000000719e-02
3.000000000000000000e+00,4.704182499999999545e-02
4.000000000000000000e+00,5.064844812500000903e-02
5.000000000000000000e+00,5.751031354166666332e-02
6.000000000000000000e+00,5.479184687500000817e-02
7.000000000000000000e+00,5.367619374999998971e-02
8.000000000000000000e+00,5.316951215277777171e-02
9.000000000000000000e+00,5.703826249999999903e-02
1.000000000000000000e+01,5.676794715909091321e-02
1.100000000000000000e+01,5.707860000000001405e-02
1.200000000000000000e+01,5.397908701923077174e-02
1.300000000000000000e+01,5.145724821428571821e-02
1.400000000000000000e+01,5.412487625000000913e-02
1.500000000000000000e+01,4.735877500000000573e-02
1.600000000000000000e+01,4.879226617647058895e-02
1.700000000000000000e+01,5.350050138888887141e-02
1.800000000000000000e+01,5.697532171052629990e-02
1.900000000000000000e+01,6.114517499999998218e-02
2.000000000000000000e+01,5.858671086309523435e-02
2.100000000000000000e+01,5.613975795454545503e-02
2.200000000000000000e+01,5.364233260869565034e-02
2.300000000000000000e+01,5.777904583333333399e-02
2.400000000000000000e+01,5.560644600000000382e-02
2.500000000000000000e+01,5.342078749999999709e-02
2.600000000000000000e+01,5.170818796296296205e-02
2.700000000000000000e+01,4.996228035714285476e-02
2.800000000000000000e+01,5.279498060344826882e-02
2.900000000000000000e+01,5.129387166666667108e-02
3.000000000000000000e+01,4.978938377016128847e-02
3.100000000000000000e+01,5.035578749999999881e-02
3.200000000000000000e+01,5.304970568181818780e-02
3.300000000000000000e+01,5.331040404411764577e-02
3.400000000000000000e+01,5.207212973214286889e-02
3.500000000000000000e+01,5.077397777777778454e-02
3.600000000000000000e+01,4.935541672297298621e-02
3.700000000000000000e+01,5.162064539473683322e-02
3.800000000000000000e+01,5.048058100961538841e-02
3.900000000000000000e+01,4.931468187499998823e-02
4.000000000000000000e+01,4.843256249999999818e-02
4.100000000000000000e+01,4.756708928571427852e-02
4.200000000000000000e+01,4.651298444767440476e-02
4.300000000000000000e+01,4.538467386363634337e-02
4.400000000000000000e+01,4.673365847222221703e-02
4.500000000000000000e+01,4.688714184782606653e-02
4.600000000000000000e+01,4.715762007978722969e-02
4.700000000000000000e+01,4.666656458333333368e-02
4.800000000000000000e+01,4.611801543367347045e-02
4.900000000000000000e+01,4.527625824999999271e-02
5.000000000000000000e+01,4.562016795343136477e-02
5.100000000000000000e+01,4.561028557692307916e-02
5.200000000000000000e+01,4.419706698113207155e-02
5.300000000000000000e+01,4.597524953703703565e-02
5.400000000000000000e+01,4.634653494318181910e-02
5.500000000000000000e+01,4.568414107142858283e-02
5.600000000000000000e+01,4.469045405701754792e-02
5.700000000000000000e+01,1.479249299568965656e-02
5.800000000000000000e+01,4.695203612288136041e-02
5.900000000000000000e+01,4.625269874999998754e-02
6.000000000000000000e+01,4.676241997950819629e-02
6.100000000000000000e+01,4.794580887096774879e-02
6.200000000000000000e+01,4.715987023809523060e-02
6.300000000000000000e+01,4.669807968750000482e-02
6.400000000000000000e+01,4.608152360576922568e-02
6.500000000000000000e+01,4.765231742424241856e-02
6.600000000000000000e+01,4.784305559701493293e-02
6.700000000000000000e+01,4.792026507352939446e-02
6.800000000000000000e+01,4.840614610507246174e-02
6.900000000000000000e+01,4.941774321428571426e-02
7.000000000000000000e+01,4.867679242957743957e-02
7.100000000000000000e+01,4.845972291666666987e-02
7.200000000000000000e+01,4.804288638698631098e-02
7.300000000000000000e+01,4.813338344594594864e-02
7.400000000000000000e+01,4.753676825000001382e-02
7.500000000000000000e+01,4.713672072368421673e-02
7.600000000000000000e+01,4.700006367694806175e-02
7.700000000000000000e+01,4.773181185897434897e-02
7.800000000000000000e+01,4.750803599683545153e-02
7.900000000000000000e+01,4.863462375000000837e-02
8.000000000000000000e+01,4.804939305555555595e-02
8.100000000000000000e+01,4.844248506097562079e-02
8.200000000000000000e+01,4.786773509036144902e-02
8.300000000000000000e+01,4.309606279761905856e-02
8.400000000000000000e+01,4.250522816176471874e-02
8.500000000000000000e+01,4.211885944767443379e-02
8.600000000000000000e+01,4.189688157327588203e-02
8.700000000000000000e+01,4.157909886363636565e-02
8.800000000000000000e+01,4.248610414325844353e-02
8.900000000000000000e+01,3.214782312500000239e-02
9.000000000000000000e+01,4.110166861263736537e-02
9.100000000000000000e+01,5.303332065217390701e-02
9.200000000000000000e+01,3.345834223790322692e-02
9.300000000000000000e+01,2.862814906914893862e-02
