# Number of Rows, Mode
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.093754999999999901e-02
2.000000000000000000e+00,1.381764479166666497e-02
3.000000000000000000e+00,1.302305312499999965e-02
4.000000000000000000e+00,-8.613000000000145388e-05
5.000000000000000000e+00,-9.839583333334271588e-06
6.000000000000000000e+00,-8.168214285714071681e-05
7.000000000000000000e+00,-8.247500000000379365e-05
8.000000000000000000e+00,-1.292777777777967465e-05
9.000000000000000000e+00,-2.883749999999780749e-05
1.000000000000000000e+01,-2.888750000000447655e-05
1.100000000000000000e+01,-7.542604166666434676e-05
1.200000000000000000e+01,-5.363798076923022230e-05
1.300000000000000000e+01,-3.956026785714144970e-05
1.400000000000000000e+01,-7.279145833334027646e-05
1.500000000000000000e+01,-9.658124999999947785e-05
1.600000000000000000e+01,-4.317904411765541219e-05
1.700000000000000000e+01,1.618483125000000009e-02
1.800000000000000000e+01,1.403295263157893630e-02
1.900000000000000000e+01,1.782024312499998903e-02
2.000000000000000000e+01,1.999601994047617987e-02
2.100000000000000000e+01,2.183647187499998879e-02
2.200000000000000000e+01,2.465619510869564851e-02
2.300000000000000000e+01,2.589258229166666730e-02
2.400000000000000000e+01,2.683415974999999593e-02
2.500000000000000000e+01,2.475778437499998735e-02
2.600000000000000000e+01,2.562861666666665234e-02
2.700000000000000000e+01,2.634270357142855928e-02
2.800000000000000000e+01,2.704142758620689188e-02
2.900000000000000000e+01,2.818464833333333280e-02
3.000000000000000000e+01,2.891121229838709145e-02
3.100000000000000000e+01,2.930780937499998656e-02
3.200000000000000000e+01,3.104246439393937990e-02
3.300000000000000000e+01,2.685453106617644720e-02
3.400000000000000000e+01,2.286319249999998332e-02
3.500000000000000000e+01,2.471514861111109504e-02
3.600000000000000000e+01,2.515687854729728792e-02
3.700000000000000000e+01,2.573848552631578107e-02
3.800000000000000000e+01,2.696108221153845422e-02
3.900000000000000000e+01,2.746524999999999314e-02
4.000000000000000000e+01,2.868366966463413784e-02
4.100000000000000000e+01,2.556018124999998725e-02
4.200000000000000000e+01,2.239469331395347110e-02
4.300000000000000000e+01,2.169080568181816840e-02
4.400000000000000000e+01,2.281579333333331669e-02
4.500000000000000000e+01,2.121440692934781561e-02
4.600000000000000000e+01,2.205700704787231375e-02
4.700000000000000000e+01,2.247403333333334446e-02
4.800000000000000000e+01,2.292629540816328373e-02
4.900000000000000000e+01,2.405449812500001089e-02
5.000000000000000000e+01,2.165700833333334546e-02
5.100000000000000000e+01,1.954689711538463298e-02
5.200000000000000000e+01,1.873665601415095555e-02
5.300000000000000000e+01,1.952737476851853712e-02
5.400000000000000000e+01,2.013245147727273782e-02
5.500000000000000000e+01,2.049635044642857812e-02
5.600000000000000000e+01,2.103146683114035659e-02
5.700000000000000000e+01,2.185891422413793056e-02
5.800000000000000000e+01,2.210058432203389558e-02
5.900000000000000000e+01,2.255842416666668099e-02
6.000000000000000000e+01,2.318826675204919627e-02
6.100000000000000000e+01,2.358507006048388491e-02
6.200000000000000000e+01,2.439866587301588521e-02
6.300000000000000000e+01,2.477829218750000548e-02
6.400000000000000000e+01,2.500551951923076291e-02
6.500000000000000000e+01,2.549214393939393600e-02
6.600000000000000000e+01,2.557681249999999712e-02
6.700000000000000000e+01,2.592860055147058057e-02
6.800000000000000000e+01,2.665429510869563381e-02
6.900000000000000000e+01,2.675407785714283698e-02
7.000000000000000000e+01,2.764758485915490976e-02
7.100000000000000000e+01,2.807408090277778781e-02
7.200000000000000000e+01,2.834690051369862657e-02
7.300000000000000000e+01,2.857613496621621077e-02
7.400000000000000000e+01,2.901506799999999803e-02
7.500000000000000000e+01,2.900577845394736870e-02
7.600000000000000000e+01,2.947530556006493566e-02
7.700000000000000000e+01,2.982367828525641848e-02
7.800000000000000000e+01,2.982488552215189700e-02
7.900000000000000000e+01,3.014646062500000653e-02
8.000000000000000000e+01,3.036337989969135551e-02
8.100000000000000000e+01,3.047145487804878497e-02
8.200000000000000000e+01,3.127483012048192651e-02
8.300000000000000000e+01,3.117366473214286740e-02
8.400000000000000000e+01,3.149078014705883333e-02
8.500000000000000000e+01,3.156184760174418624e-02
8.600000000000000000e+01,3.192439888649425961e-02
8.700000000000000000e+01,3.194750568181818628e-02
8.800000000000000000e+01,3.212231341292136333e-02
8.900000000000000000e+01,3.200332055555556166e-02
9.000000000000000000e+01,3.277540302197803901e-02
9.100000000000000000e+01,3.286251277173915519e-02
9.200000000000000000e+01,3.295685309139786967e-02
9.300000000000000000e+01,3.301278238031916945e-02
9.400000000000000000e+01,3.281726289473685387e-02
9.500000000000000000e+01,3.330066666666665898e-02
9.600000000000000000e+01,3.343601385309277751e-02
9.700000000000000000e+01,3.378148947704082139e-02
9.800000000000000000e+01,3.383241186868687911e-02
9.900000000000000000e+01,3.383353424999999137e-02
1.000000000000000000e+02,3.412957447400989663e-02
1.010000000000000000e+02,3.416313854166666553e-02
1.020000000000000000e+02,3.460815182038835813e-02
1.030000000000000000e+02,3.362626009615383993e-02
1.040000000000000000e+02,3.370694607142855903e-02
1.050000000000000000e+02,3.390396674528302345e-02
1.060000000000000000e+02,3.379625519859813521e-02
1.070000000000000000e+02,3.447023078703705112e-02
1.080000000000000000e+02,3.446750275229358562e-02
1.090000000000000000e+02,3.437003306818181558e-02
1.100000000000000000e+02,3.463286692004505229e-02
1.110000000000000000e+02,3.484577678571428028e-02
1.120000000000000000e+02,3.551024922566373143e-02
1.130000000000000000e+02,3.532211129385964821e-02
1.140000000000000000e+02,3.586026524456523146e-02
1.150000000000000000e+02,3.606226120689655368e-02
1.160000000000000000e+02,3.629433183760685799e-02
1.170000000000000000e+02,3.617736170550849006e-02
1.180000000000000000e+02,3.650726165966387826e-02
1.190000000000000000e+02,3.688164875000000953e-02
1.200000000000000000e+02,3.682461335227273092e-02
1.210000000000000000e+02,3.679583370901640116e-02
1.220000000000000000e+02,3.697003653455284422e-02
1.230000000000000000e+02,3.714252832661291137e-02
1.240000000000000000e+02,3.711866810000001571e-02
1.250000000000000000e+02,3.754054742063493710e-02
1.260000000000000000e+02,3.780701776574803274e-02
1.270000000000000000e+02,3.779086953125000703e-02
1.280000000000000000e+02,3.795860188953488479e-02
